restaurant_id,address,city,country,state,area,latitude,longitude
00075e78-5ac5-43a8-81f5-95ced5de3deb,1401 Tintern St Chesapeake VA 23320,Chesapeake,United States,VA,1401 Tintern Street,36.7647,-76.25289
000f0005-3a31-45b6-98b7-7a72b6e43d6f,34 Catoctin Cir SE Ste E Leesburg VA 20175,Leesburg,United States,VA,34 Catoctin Circle Southeast,39.10751,-77.56399
002936f9-638f-4d4a-a804-b37b17acd546,100 E Main St,Norfolk,United States,VA,Norfolk,36.84663,-76.29163
002f5a94-f47b-436f-aa7b-9d46c78b6a4a,6640 Richmond Hwy VA Alexandria 22306 United States,Alexandria,United States,VA,Old Town Alexandria,38.77279,-77.08204
00388cc6-09b5-4354-b7a0-ccd4a9ffa617,1330 S Fern St VA Arlington 22202 United States,Arlington,United States,VA,Arlington,38.86132,-77.05619
004299e8-9769-4c1d-b5f3-a1ad4a94c9cc,10645 Braddock Rd Ste B Fairfax VA 22032,Fairfax,United States,VA,10645 Braddock Road,38.82551,-77.31491
0043936c-0079-40a4-8190-223f1eb45ee0,6468 Hampton Roads Pkwy Suffolk VA 23435,Suffolk,United States,VA,6255 College Drive,36.87722,-76.42813
0044315d-a5b1-4859-8ddf-843be1d3b1ea,1112 W Broad St Falls Church VA 22046,Falls Church,United States,VA,Falls Church City,38.89351,-77.18712
0045f79c-a6ce-4b4a-a0ff-8c181deff389,2025 W Main St Salem VA 24153,Salem,United States,VA,,37.28835,-80.09343
004e4147-6afa-43be-a82b-aa4f0a6d8562,4700 Walmsley Blvd Inside 7 Eleven Richmond VA 23234,Richmond,United States,VA,British Camp Farms,37.47039,-77.48172
0054db08-7798-48ae-b9a0-d4a524ff5fe3,20789 Great Falls Plaza,Sterling,United States,VA,Suite 162,39.04014,-77.35835
005efc69-e519-49be-9b7f-7a43be647a4a,15200 Potomac Town Pl Ste 110 Woodbridge VA 22191,Woodbridge,United States,VA,15200 Potomac Town Place,38.62742,-77.28743
0066cfff-d686-4c98-b465-a3e7bafb44ce,365 Elden St Ste 100 Herndon VA 20170,Herndon,United States,VA,365 Elden Street,38.96691,-77.37359
006b9897-c790-47b9-bb88-cacba0d02e61,17860 Forest Rd Forest VA 24551,Forest,United States,VA,17860 Forest Road,37.37542,-79.24996
006d9a8a-e201-4293-8f08-e51e50a4a52d,2920 Columbia Pike,Arlington,United States,VA,Columbia Heights,38.8623,-77.08743
00728c76-e11b-4b75-9513-41a40ccfa69b,3538 Tidewater Dr Norfolk VA 23509,Norfolk,United States,VA,,36.88573,-76.26005
0075f1c0-673f-42a0-88c0-c0d206ebd82c,8637 Sudley Rd Manassas VA 20110,Manassas,United States,VA,8637 Sudley Road,38.76906,-77.48628
00781473-c195-4249-bf1c-24d2b1d724d3,114 E Fairfax St Falls Church VA 22046,Falls Church,United States,VA,Falls Church City,38.89025,-77.18337
007c71ce-710f-4114-9ae5-d4b493ff0cc6,16015 John Marshall Hwy,Broad Run,United States,VA,,38.81836,-77.66673
007d1ee2-5c0f-4467-b8ef-e57ac9d65f8d,7215 Columbia Pike Annandale VA 22003,Annandale,United States,VA,7217 Columbia Pike,38.83124,-77.1932
0081db9a-d37e-4926-9ba4-a8bced7ee2d0,7615 Heritage Village Plaza,Gainesville,United States,VA,7615 Heritage Village Plaza,38.80456,-77.6052
00841727-6468-4a6e-bd17-475c1a1c96e8,946 Grady Avenue Suite O,Charlottesville,United States,VA,946 Grady Avenue,38.03777,-78.49124
009345dd-6844-49d7-b607-5de0fd2dad07,3945 Brambleton Ave Cave Spring VA 24018,Cave Spring,United States,VA,3951 Brambleton Avenue,37.23394,-80.0088
0098881d-5d8c-45d9-ae80-55b05534beed,2902 Garber Way VA Woodbridge 22192 4004 United States,Woodbridge,United States,VA,Dale City,38.66116,-77.29928
009a0342-9712-47a0-bbf6-167dcfa33232,13800 Fribble Way Midlothian VA 23112,Midlothian,United States,VA,13800 Fribble Way,37.4072,-77.65607
00a3f5b6-ce15-4806-a16b-56478d53e32a,251 18th St S Arlington VA 22202,Arlington,United States,VA,Pentagon City,38.85831,-77.05097
00a75435-f767-4408-92ce-2d739c9e13c9,8702 Richmond Hwy Alexandria VA 22309,Alexandria,United States,VA,8702 Richmond Highway,38.72197,-77.12436
00ab8ec9-7647-465d-8e85-73d685f6e879,940 Cedar Rd Ste 102 Chesapeake VA 23322,Chesapeake,United States,VA,940 Cedar Road,36.71206,-76.27584
00b1405c-23fa-411c-b688-9419c5658cbe,918 MEDITERRANEAN AVE,Virginia Beach,United States,VA,,36.83718,-75.97959
00ba4b9f-7f88-4c48-9f39-78d285014b35,1371 E Little Creek Rd Norfolk VA 23518,Norfolk,United States,VA,1632 East Little Creek Road,36.91596,-76.23438
00c5e858-5621-4f86-80f8-a8a6811933e9,7322 Sudley Rd Manassas VA 20109,Manassas,United States,VA,7322 Sudley Road,38.79515,-77.51765
00d7b04a-f554-47e7-8c4e-e660e2d066f6,105 28th St Newport News VA 23607,Newport News,United States,VA,105 28th Street,36.97921,-76.43306
00dc8dcd-298e-4f92-b844-910985ede2fa,112 North 5th Street VA Richmond 23231 United States,Richmond,United States,VA,Richmond,37.54183,-77.43893
00e8fe08-c2f7-467c-b254-19a7fc0bf015,4229 Lafayette Center Dr Unit 1475 Chantilly VA 20151,Chantilly,United States,VA,4229 Lafayette Center Drive,38.90883,-77.47387
00f742f9-452b-42b7-94c8-6cbf52452eef,12950 Highland Crossing Dr Herndon VA 20171,Herndon,United States,VA,12950 Highland Crossing Drive,38.94947,-77.39431
00fb7c77-841b-456e-ab8e-13c345044e32,4540 Princess Anne Rd Ste 110 Virginia Beach VA 23462,Virginia Beach,United States,VA,4540 Princess Anne Road,36.80723,-76.13254
00fb98eb-814b-4562-be00-52ef4556b81c,17 Atlantic Ave Wachapreague VA 23480,Wachapreague,United States,VA,Wachapreague,37.6039,-75.68748
01063b55-68c1-49ec-b4d3-53973658fc4d,24630 S Point Dr Ste 100 Chantilly VA 20152,Chantilly,United States,VA,24640 Southpoint Drive,38.93661,-77.54083
010fe4ea-5bba-4cbc-8ef7-02975c391c67,8971 Ox Rd Lorton VA 22079,Lorton,United States,VA,8971 Ox Road,38.71554,-77.26247
0112877c-bafa-4d0f-b7eb-b31cc6c53565,1714 W Washington St Petersburg VA 23803,Petersburg,United States,VA,1714 West Washington Street,37.21931,-77.43313
0114bdfb-7c03-486d-98e0-718ff1f1fbf2,1126 N Military Hwy Norfolk VA 23502,Norfolk,United States,VA,1140 North Military Highway,36.86037,-76.20938
011b643d-1bc4-4a66-b5e5-715f2a7c6d93,7396 Bell Creek Road VA Mechanicsville 23111 United States,Mechanicsville,United States,VA,Mechanicsville,37.60864,-77.35473
011b92d8-e7e6-4025-abb2-c37ed056afb7,1205 N King St Hampton VA 23669,Hampton,United States,VA,1205 North King Street,37.04556,-76.34842
011d1b05-dd29-4424-903b-3560bb3c9834,9420 Battle St Manassas VA 20110,Manassas,United States,VA,9420 Battle Street,38.75055,-77.4726
011eea81-c97f-4912-a49e-ca42184baf66,207 West Brookland Park Boulevard,Richmond,United States,VA,,37.57141,-77.43563
011fbd17-6be9-435e-a7c5-0a1e8bcfb003,12218 Leesburg Pike Herndon VA 20170,Herndon,United States,VA,1015 Dranesville Road,39.01466,-77.37071
012537cf-4d27-4eae-80bb-66107c3e9957,10830 Promenade Ln Manassas VA 20109,Manassas,United States,VA,10830 Promenade Lane,38.79729,-77.51872
012ee73d-8aad-41f4-b5c0-aaeec09153b9,10427 North Street 102,Fairfax,United States,VA,Old Town Fairfax,38.84637,-77.30639
01366729-7ec7-440e-b4ab-8d71753848f8,4230 Annandale Rd Annandale VA 22003,Annandale,United States,VA,4230 Annandale Road,38.83132,-77.19718
013c9501-61dd-41a6-949c-fe3e9b10aec2,1710 E Little Creek Rd Norfolk VA 23518,Norfolk,United States,VA,1710 East Little Creek Road,36.91801,-76.22772
01417725-6941-4a48-9f1f-9e4b716915d2,4501 Haygood Road,Virginia Beach,United States,VA,4501 Haygood Road,36.87475,-76.13574
01428fd8-4b65-4030-b596-c9c8005a4982,141 Hillcrest Pkwy Chesapeake VA 23322,Chesapeake,United States,VA,141 Hillcrest Parkway,36.65689,-76.22516
01448d4b-2db4-4842-93c6-4a1c07ba39fc,4027 Bowdens Ferry Rd Norfolk VA 23508,Norfolk,United States,VA,3901 Hampton Boulevard,36.88178,-76.30477
0149a032-5c1e-405a-a970-2a9d25ded682,13003 Lee Jackson Memorial Hwy Fairfax VA 22033,Fairfax,United States,VA,13003 Lee Jackson Memorial Highway,38.87988,-77.39613
015a1854-83d2-4b8d-b72d-4725c64a4bea,435 Charles H Dimmock Pkwy Colonial Heights VA 23834,Colonial Heights,United States,VA,435 Charles H Dimmock Parkway,37.25231,-77.38323
0162a040-0738-49d9-92c9-0a9f961c9338,14130 Noblewood Plz Ste 103 Woodbridge VA 22193,Woodbridge,United States,VA,14067 Noblewood Plaza,38.64854,-77.31349
01631c43-4590-4882-98cd-216d3a916dae,8417 Old Courthouse Rd Vienna VA 22182,Vienna,United States,VA,8417 Old Courthouse Road,38.91547,-77.23668
01633803-db20-4f49-80eb-1340e05435e0,13283 Rivers Bend Blvd Chester VA 23836,Chester,United States,VA,13127 Rivers Bend Boulevard,37.35035,-77.35574
0164aff5-8d48-40bb-bb9a-dc2248a88c88,2005 Abbey Rd Charlottesville VA 22911,Charlottesville,United States,VA,2005 Abbey Road,38.03113,-78.44593
